GivenName,Surname
Victorine,Dufresne
Yseult,Boileau
Zdenek,Henrichon
Vachel,Truchon
Delmar,Massé
Baptiste,Deserres
Ferrau,Déziel
Victorine,Gilbert
Joséphine,Brousse
Caroline,"de Chateaub"
Gifford,Neufville
Lyle,Fremont
Fanchon,Bériault
Loring,Marcheterre
Charles,Viens
Aymon,Deslauriers
Wyatt,Levasseur
Florus,Mailhot
Amitee,Sicard
Chandler,Jodion
Aceline,Sauriol
Alaine,Therriault
Ansel,Robillard
Catherine,Lamare
Adélaïde,Bériault
Evrard,LeBatelier
Thiery,Proulx
Étienne,Guay
Tempeste,Drouin
Pinabel,Ayot
Somer,Senneville
Claude,Beaulac
Latimer,Bonneville
Brier,Gaillou
Eugenia,Guimond
Philip,Auclair
Melisande,Fluet
Richard,Royer
Platt,Tachel
Capucine,Asselin
Aiglentina,Bernard
Lorraine,Dostie
Annot,Chnadonnet
Pierre,Fresne
Aya,Langlois
Inès,Quessy
Ernest,David
Dominique,Charette
William,Tollmache
Jérôme,Brisebois
Gaspar,Cantin
Rémy,Larivière
Anne,René
Valiant,Pellerin
Angelique,Martin
Amber,Cantin
Clarice,Coulombe
Gaspar,Chicoine
Baptiste,Marcheterre
Antoinette,L'Angelier
Margaux,Audibert
Varden,Montminy
Victorine,Norbert
Daisi,Sarrazin
Camille,Jolicoeur
Roch,Grivois
Etoile,Binet
Paulette,Pouchard
Stéphane,Vallée
Francis,Gauthier
Charline,Boivin
Parnella,Vernadeau
Lundy,Favreau
Alexandre,Sansouci
Vedette,Metivier
Manville,Laurent
Chandler,Bourassa
Seymour,Lajeunesse
Baptiste,Begin
Joanna,Huppé
Amabella,Fresne
Gill,Forest
Maryse,Audibert
Damiane,Chesnay
Telford,Huppé
Angelique,Longpré
Creissant,Francoeur
Josette,Briard
Eulalie,Beaudoin
Searlait,Querry
Magnolia,Boulé
Sydney,Jobin
Dreux,Jacques
Avelaine,Mouet
Joséphine,Leroy
Roland,Roussel
Felicien,Bellefeuille
Marc,Sylvain
Bernadette,Garnier
Avenall,Faubert
Lucille,Larivière
Adorlee,Brault
Nicolette,Loiseau
Luce,Varieur
Henriette,Lamontagne
Blanchefle,Batard
Benoît,Chnadonnet
Éléonore,Lambert
Cosette,Lapointe
Barry,Ratté
Turner,Fongemie
Lance,Bérard
Martin,Lamare
Audrey,Loiseau
Moore,Vadeboncoeur
Fitz,Doiron
Sumner,Provencher
Marmion,Truchon
Bruce,Lejeune
Nathalie,Perreault
Denise,Lefèbvre
Brice,Michel
Delphine,Bourque
Aubine,Bellemare
Wyatt,Daigneault
Édith,Rancourt
Cinderella,Norbert
Gaetan,Doucet
Ganelon,Douffet
Clementine,Routhier
Rule,Benoit
Fleurette,Émond
Carolos,Chicoine
Oliver,Grandbois
Florence,Lajeunesse
Prewitt,Garcia
Platt,Bernard
Montague,Harquin
Claire,Lavoie
Laurette,Guilmette
Isabelle,Auger
Trinette,Galarneau
Sébastien,Fournier
Roland,Bazin
Zoé,Rivard
Vail,Tétrault
Jean,Martin
Daisi,Labonté
Flordelis,Petit
Thiery,Lamarre
Alacoque,Pirouet
Gabriel,Thibault
Matthieu,Gladu
Lotye,Morin
Joseph,Quenneville
Philippe,Rodrigue
Blanche,Langelier
Neville,Duhamel
Belisarda,Lemelin
Searlas,Arpin
Édith,Poirier
Fusberta,Courtemanche
Malagigi,Beaudouin
Fabienne,Binet
Barry,Brisette
Aceline,Blanchard
Loring,Brodeur
Bernadette,Lajoie
Paige,Doiron
Platt,Poissonnier
Byron,Racicot
Odelette,Hachée
Daisi,Fortier
Lowell,René
Richard,Sarrazin
Granville,Arnoux
Marjolaine,Dupuy
Telford,Charron
Dielle,Saindon
Edmee,Lacasse
Alita,Bondy
Amélie,Émond
Eustache,Dastous
Namo,Plante
Aubrey,Goguen
Louis,Masson
Clovis,Bérard
France,Daviau
Amélie,Berger
Gaston,Sauriol
Saville,Poisson
Melisande,L'Hiver
Eloise,Gervais
Landers,Migneault
Gérard,Lacroix
Chappell,Primeau
Morgana,Achin
Roch,Jomphe
Auguste,LaCaille
Gradasso,Arnoux
Toussaint,Petit
Talon,Rodrigue
Bertrand,Durand
Gustave,Blanc
Jacqueline,Sabourin
Royce,Audet
Mayhew,Grignon
Stéphane,Mercier
Vallis,Charest
Forrest,Lesage
Aymon,Rochon
Ernest,Provencher
Montague,Quessy
Christabel,Davignon
Richard,Croquetaigne
Fusberta,Jodoin
Martine,Morin
Constance,Metivier
Jules,Bonami
Frontino,Marchesseault
Julien,Aubé
Fabienne,"de Chateaub"
Rosemarie,Parrot
Maureen,Roux
Prewitt,Chassé
Camille,Bizier
Alexis,Boutot
Nathalie,Binet
Laurent,Panetier
Louis,Pellerin
Gaetan,Barrière
Jesper,Foucault
Timothée,Melanson
Aya,Noël
Viollette,Labrecque
Curtis,Ruest
Charmaine,Dodier
Julie,Deschamps
Julien,Narcisse
Alphonsine,Rodrigue
Melusina,Mazuret
Mignonette,Desjardins
Fealty,Sanschagrin
Normand,Lemelin
Lowell,Caya
Ninette,Larocque
Alita,Bois
Christian,Quinn
Aubrey,Quiron
Moore,Barteaux
Percy,Charlebois
Solaine,Bélair
Brunella,Beauchamp
Fletcher,Dupuy
Fanette,Desilets
Jean,Babin
Michel,Henrichon
Aubrey,Couet
Capucine,Bourgeois
Odo,Dupuy
Grosvenor,Audibert
Felicien,Chauvet
Avice,Grivois
Warrane,Rouleau
Maurelle,Hébert
Hortense,Émond
Mavise,Jodoin
Charlotte,Laprise
Brie,Sanschagrin
Burnell,Bellemare
Fusberta,Beaulieu
Genevre,Lafontaine
Philip,Gladu
Christian,Cormier
Xavierre,LaGarde
Romain,Daigle
Eugenia,Deserres
Henri,Caisse
Clémence,Pichette
Fitz,Cinq-Mars
Lotye,Rocheleau
Xavier,Généreux
Platt,Méthot
Telford,Deschamps
Amorette,Beauchamps
Holly,Franchet
Vivienne,Voisine
Marshall,Brodeur
Audric,Chartier
Monique,Langelier
Brice,Lajeunesse
Faye,Gabriaux
Byron,Lécuyer
Prewitt,Labbé
Octave,Couturier
Manon,Méthot
Nathalie,Arsenault
Michèle,Busque
Vallis,Masson
Gauthier,Ricard
Émile,Faure
Albracca,Lanctot
Isaac,Bélanger
Carolos,Lagrange
Aurélie,Dubé
Julienne,Paquin
Loring,Chastain
Marshall,Moquin
Catherine,Beaujolie
Millard,Croteau
Maurelle,Pariseau
Bradamate,Fortier
Minette,Tollmache
Arnou,Baron
Favor,Fugère
Marthe,Collin
Afrodille,Brisette
Fortun,Batard
Philippe,Migneault
Andrée,Salmons
Manville,Guérette
Percy,Guédry
Seymour,Fremont
Travers,Jomphe
Millard,Deschênes
Guerin,Gervais
Esperanza,Lamoureux
Faye,St-Pierre
Pansy,Ruest
Amorette,Lapierre
Thierry,Ruais
Mandel,Paradis
Gaetan,"Du Trieux"
Brigliador,Tachel
Virginie,Turgeon
Arianne,Bussière
Marlon,Dostie
